timestamp,status,temperature,level,plugged
1557446407082,DISCHARGING,267,100.0,UNDEFINED
1557446477081,DISCHARGING,267,100.0,UNDEFINED
1557446547098,DISCHARGING,269,100.0,UNDEFINED
1557446617081,DISCHARGING,269,100.0,UNDEFINED
1557446687083,DISCHARGING,270,100.0,UNDEFINED
1557446757082,DISCHARGING,270,100.0,UNDEFINED
1557446817143,DISCHARGING,272,100.0,UNDEFINED
1557446827080,DISCHARGING,273,100.0,UNDEFINED
1557446897089,DISCHARGING,273,100.0,UNDEFINED
1557446967085,DISCHARGING,273,100.0,UNDEFINED
1557447016960,DISCHARGING,273,100.0,UNDEFINED
1557447037084,DISCHARGING,273,100.0,UNDEFINED
1557447177095,DISCHARGING,275,100.0,UNDEFINED
1557447226776,DISCHARGING,275,100.0,UNDEFINED
1557447238007,DISCHARGING,277,100.0,UNDEFINED
1557447247142,DISCHARGING,276,100.0,UNDEFINED
1557447317142,DISCHARGING,276,100.0,UNDEFINED
1557447387153,DISCHARGING,277,100.0,UNDEFINED
1557447457141,DISCHARGING,277,100.0,UNDEFINED
1557447517198,DISCHARGING,277,100.0,UNDEFINED
1557447527143,DISCHARGING,277,100.0,UNDEFINED
1557447555698,DISCHARGING,277,100.0,UNDEFINED
1557447597090,DISCHARGING,281,100.0,UNDEFINED
1557447616957,DISCHARGING,281,100.0,UNDEFINED
1557447667094,DISCHARGING,284,100.0,UNDEFINED
1557447737113,DISCHARGING,291,100.0,UNDEFINED
1557447807109,DISCHARGING,294,100.0,UNDEFINED
1557447877131,DISCHARGING,299,100.0,UNDEFINED
1557447947135,DISCHARGING,302,100.0,UNDEFINED
1557448017111,DISCHARGING,305,100.0,UNDEFINED
1557448087104,DISCHARGING,307,100.0,UNDEFINED
1557448157131,DISCHARGING,312,100.0,UNDEFINED
1557448216992,DISCHARGING,314,100.0,UNDEFINED
1557448227102,DISCHARGING,315,100.0,UNDEFINED
1557448297092,DISCHARGING,317,100.0,UNDEFINED
1557448327360,DISCHARGING,321,100.0,UNDEFINED
1557448349058,DISCHARGING,320,100.0,UNDEFINED
1557448367110,DISCHARGING,322,100.0,UNDEFINED
1557448431838,DISCHARGING,323,100.0,UNDEFINED
1557448437107,DISCHARGING,324,100.0,UNDEFINED
1557448507144,DISCHARGING,321,100.0,UNDEFINED
1557448577161,DISCHARGING,319,100.0,UNDEFINED
1557448647126,DISCHARGING,317,100.0,UNDEFINED
1557448717117,DISCHARGING,315,100.0,UNDEFINED
1557448787122,DISCHARGING,313,100.0,UNDEFINED
1557448816959,DISCHARGING,313,100.0,UNDEFINED
1557448857182,DISCHARGING,311,100.0,UNDEFINED
1557448927178,DISCHARGING,309,100.0,UNDEFINED
1557448997161,DISCHARGING,307,100.0,UNDEFINED
1557449067160,DISCHARGING,307,100.0,UNDEFINED
1557449137184,DISCHARGING,305,100.0,UNDEFINED
1557449207173,DISCHARGING,304,100.0,UNDEFINED
1557449277170,DISCHARGING,302,100.0,UNDEFINED
1557449347163,DISCHARGING,301,100.0,UNDEFINED
1557449387188,DISCHARGING,300,99.0,UNDEFINED
1557449416984,DISCHARGING,300,99.0,UNDEFINED
1557449445232,DISCHARGING,300,99.0,UNDEFINED
1557449452869,DISCHARGING,300,99.0,UNDEFINED
1557449457150,DISCHARGING,302,99.0,UNDEFINED
1557449527133,DISCHARGING,299,99.0,UNDEFINED
1557449597138,DISCHARGING,300,99.0,UNDEFINED
1557449667129,DISCHARGING,299,99.0,UNDEFINED
1557449807135,DISCHARGING,299,99.0,UNDEFINED
1557449837222,DISCHARGING,298,99.0,UNDEFINED
1557449867160,DISCHARGING,301,98.0,UNDEFINED
1557449879364,DISCHARGING,301,98.0,UNDEFINED
1557449903572,DISCHARGING,300,98.0,UNDEFINED
1557449937157,DISCHARGING,301,98.0,UNDEFINED
1557450007158,DISCHARGING,306,98.0,UNDEFINED
1557450077167,DISCHARGING,310,98.0,UNDEFINED
1557450147183,DISCHARGING,312,98.0,UNDEFINED
1557450217149,DISCHARGING,318,98.0,UNDEFINED
1557450287169,DISCHARGING,316,98.0,UNDEFINED
1557450347153,DISCHARGING,318,97.0,UNDEFINED
1557450417274,DISCHARGING,319,97.0,UNDEFINED
1557450487169,DISCHARGING,319,97.0,UNDEFINED
1557450555935,DISCHARGING,316,97.0,UNDEFINED
1557450557138,DISCHARGING,314,97.0,UNDEFINED
1557450616964,DISCHARGING,312,97.0,UNDEFINED
1557450627145,DISCHARGING,311,97.0,UNDEFINED
1557450687192,DISCHARGING,311,97.0,UNDEFINED
1557450697145,DISCHARGING,310,97.0,UNDEFINED
1557450767151,DISCHARGING,312,97.0,UNDEFINED
1557450897200,DISCHARGING,312,97.0,UNDEFINED
