timestamp,CaloriesToday,Calories
1557796295088,571,13537
1557796296118,571,13537
1557796297151,571,13537
1557796298203,571,13537
1557796299233,571,13537
1557796300273,571,13537
1557796301299,571,13537
1557796302329,571,13537
1557796303378,571,13537
1557796304404,571,13537
1557796305417,571,13537
1557796306445,571,13537
1557796307478,571,13537
1557796308492,571,13537
1557796309522,571,13537
1557796310550,571,13537
1557796311564,571,13537
1557796312595,571,13537
1557796313623,571,13537
1557796314633,571,13537
1557796315666,571,13537
1557796316692,571,13537
1557796317708,571,13537
1557796318735,571,13537
1557796319764,571,13537
1557796320777,571,13537
1557796321807,571,13537
1557796322833,571,13537
1557796323886,571,13537
1557796325023,571,13537
1557796325939,571,13537
1557796327015,571,13537
1557796327970,571,13537
1557796329000,571,13537
1557796330027,571,13537
1557796331063,571,13537
1557796332085,571,13537
1557796333106,571,13537
1557796334107,571,13537
1557796335155,571,13537
1557796336172,571,13537
1557796337203,571,13538
1557796338228,571,13538
1557796339233,572,13538
1557796340259,572,13538
1557796341279,572,13538
1557796342319,572,13538
1557796343337,572,13538
1557796344370,572,13538
1557796345402,572,13538
1557796346420,572,13538
1557796347446,572,13538
1557796348456,572,13538
1557796349487,572,13538
1557796350542,572,13538
1557796351658,572,13538
1557796352592,572,13538
1557796353633,572,13538
1557796354616,572,13538
1557796355643,572,13538
1557796356682,572,13538
1557796357691,572,13538
1557796358712,572,13538
1557796359742,572,13538
1557796360754,572,13538
1557796361799,572,13538
1557796362831,572,13538
1557796363826,572,13538
1557796364856,572,13538
1557796365902,572,13538
1557796366912,572,13538
1557796367926,572,13538
1557796368954,572,13538
1557796370008,572,13538
1557796371018,572,13538
1557796372038,572,13538
1557796373067,572,13538
1557796374084,572,13538
1557796375113,572,13538
1557796376138,572,13538
1557796377149,572,13538
1557796378183,572,13538
1557796379195,572,13538
1557796380303,572,13538
1557796381251,572,13538
1557796382288,572,13538
1557796383310,572,13539
1557796384333,572,13539
1557796385344,573,13539
1557796386368,573,13539
1557796387479,573,13539
1557796388423,573,13539
1557796389492,573,13539
1557796390518,573,13539
1557796391528,573,13539
1557796392548,573,13539
1557796393541,573,13539
1557796394562,573,13539
1557796395594,573,13539
1557796396628,573,13539
1557796397647,573,13539
1557796398685,573,13539
1557796399696,573,13539
1557796400711,573,13539
1557796401767,573,13539
1557796402779,573,13539
1557796403843,573,13539
1557796404854,573,13539
1557796405872,573,13539
1557796406898,573,13539
1557796407895,573,13539
1557796408908,573,13539
1557796409947,573,13539
1557796411000,573,13539
1557796412115,573,13539
1557796413003,573,13539
1557796414049,573,13539
1557796415058,573,13539
1557796416073,573,13539
1557796417118,573,13539
1557796418144,573,13539
1557796419160,573,13539
1557796420244,573,13539
1557796421222,573,13539
1557796422245,573,13539
1557796423264,573,13539
1557796424283,573,13539
1557796425289,573,13539
1557796426334,573,13539
1557796427376,573,13539
1557796428357,573,13539
1557796429417,573,13540
1557796430457,573,13540
1557796431442,574,13540
1557796432468,574,13540
1557796433486,574,13540
1557796434536,574,13540
1557796435543,574,13540
1557796436571,574,13540
1557796437583,574,13540
1557796438615,574,13540
1557796439643,574,13540
1557796440657,574,13540
1557796441687,574,13540
1557796442727,574,13540
1557796443732,574,13540
1557796444758,574,13540
1557796445791,574,13540
1557796446801,574,13540
1557796447833,574,13540
1557796448857,574,13540
1557796449902,574,13540
1557796450929,574,13540
1557796451929,574,13540
1557796452946,574,13540
1557796453973,574,13540
1557796455000,574,13540
1557796456011,574,13540
1557796457040,574,13540
1557796458073,574,13540
1557796459101,574,13540
1557796460129,574,13540
1557796461143,574,13540
1557796462171,574,13540
1557796463200,574,13540
1557796464253,574,13540
1557796465248,574,13540
1557796466277,574,13540
1557796467300,574,13540
1557796468321,574,13540
1557796469343,574,13540
1557796470377,574,13540
1557796471387,574,13540
1557796472421,574,13540
1557796473444,574,13540
1557796474491,574,13540
1557796475485,574,13541
1557796476515,574,13541
1557796477546,575,13541
1557796478573,575,13541
1557796479593,575,13541
1557796480611,575,13541
1557796481645,575,13541
1557796482673,575,13541
1557796483687,575,13541
1557796484716,575,13541
1557796485731,575,13541
1557796486761,575,13541
1557796487788,575,13541
1557796488805,575,13541
1557796489830,575,13541
1557796490858,575,13541
1557796491895,575,13541
1557796492903,575,13541
1557796493930,575,13541
1557796494987,575,13541
1557796495972,575,13541
1557796497013,575,13541
1557796498044,575,13541
1557796499043,575,13541
1557796500073,575,13541
1557796501104,575,13541
1557796502117,575,13541
1557796503146,575,13541
1557796504174,575,13541
1557796505188,575,13541
1557796506215,575,13541
1557796507245,575,13541
1557796508259,575,13541
1557796509287,575,13541
1557796510317,575,13541
1557796511345,575,13541
1557796512357,575,13541
1557796513388,575,13541
1557796514422,575,13541
1557796515449,575,13541
1557796516462,575,13541
1557796517489,575,13541
1557796518517,575,13541
1557796519568,575,13541
1557796520548,575,13541
1557796521590,575,13542
1557796522622,575,13542
1557796523617,576,13542
1557796524661,576,13542
1557796525712,576,13542
1557796526700,576,13542
1557796527727,576,13542
1557796528759,576,13542
1557796529773,576,13542
1557796530804,576,13542
1557796531816,576,13542
1557796532862,576,13542
1557796533971,576,13542
1557796534912,576,13542
1557796535914,576,13542
1557796536949,576,13542
1557796538006,576,13542
1557796538999,576,13542
1557796540030,576,13542
1557796541044,576,13542
1557796542061,576,13542
1557796543087,576,13542
1557796544168,576,13542
1557796545130,576,13542
1557796546167,576,13542
1557796547188,576,13542
1557796548204,576,13542
1557796549230,576,13542
1557796550273,576,13542
1557796551272,576,13542
1557796552306,576,13542
1557796553331,576,13542
1557796554344,576,13542
1557796555373,576,13542
1557796556402,576,13542
1557796557431,576,13542
1557796558443,576,13542
1557796559536,576,13542
1557796560503,576,13542
1557796561517,576,13542
1557796562544,576,13542
1557796563574,576,13542
1557796564604,576,13542
1557796565617,576,13542
1557796566647,576,13542
1557796567680,576,13542
1557796568704,576,13543
1557796569720,577,13543
1557796570753,577,13543
1557796571778,577,13543
1557796572789,577,13543
1557796573817,577,13543
1557796574846,577,13543
1557796575860,577,13543
1557796576887,577,13543
1557796577919,577,13543
1557796578931,577,13543
1557796579960,577,13543
1557796580990,577,13543
1557796582001,577,13543
1557796583038,577,13543
1557796584061,577,13543
1557796585080,577,13543
1557796586103,577,13543
1557796587136,577,13543
1557796588145,577,13543
1557796589176,577,13543
1557796590232,577,13543
1557796591232,577,13543
1557796592251,577,13543
1557796593275,577,13543
1557796594307,577,13543
1557796595317,577,13543
1557796596346,577,13543
1557796597375,577,13543
1557796598410,577,13543
1557796599417,577,13543
1557796600446,577,13543
1557796601478,577,13543
1557796734621,580,13546
1557796735641,580,13546
1557796736669,580,13546
1557796737697,580,13546
1557796738715,580,13546
1557796739734,580,13546
