timestamp,status,temperature,level,plugged
1557532895440,FULL,251,100.0,AC
1557533015441,FULL,249,100.0,AC
1557533495416,FULL,249,100.0,AC
1557533795416,FULL,249,100.0,AC
1557533855774,FULL,249,100.0,AC
1557533916234,FULL,249,100.0,AC
1557533976079,FULL,246,100.0,AC
1557534036384,FULL,246,100.0,AC
1557534095403,FULL,246,100.0,AC
1557534155409,FULL,246,100.0,AC
1557534215418,FULL,249,100.0,AC
1557534575911,FULL,246,100.0,AC
1557534615728,FULL,249,100.0,AC
1557534995445,FULL,253,100.0,AC
1557535055439,FULL,264,100.0,AC
1557535115419,FULL,264,100.0,AC
1557535175413,FULL,258,100.0,AC
1557535296330,FULL,255,100.0,AC
1557535475415,FULL,253,100.0,AC
1557535775008,FULL,253,100.0,AC
1557535816440,FULL,255,100.0,AC
1557535895692,FULL,258,100.0,AC
1557535955400,FULL,255,100.0,AC
1557535982079,FULL,258,100.0,AC
1557536023506,FULL,255,100.0,AC
1557536075412,FULL,258,100.0,AC
1557536135469,FULL,255,100.0,AC
1557536255398,FULL,253,100.0,AC
1557536495882,FULL,255,100.0,AC
1557536520258,FULL,253,100.0,AC
1557536555415,FULL,255,100.0,AC
1557536603053,FULL,253,100.0,AC
1557536975947,FULL,253,100.0,AC
1557537036098,FULL,253,100.0,AC
1557537576045,FULL,249,100.0,AC
1557537635415,FULL,249,100.0,AC
1557537755416,FULL,251,100.0,AC
1557538055420,FULL,255,100.0,AC
1557538115407,FULL,253,100.0,AC
1557538236206,FULL,253,100.0,AC
1557538258391,FULL,251,100.0,AC
1557538595401,FULL,255,100.0,AC
1557538631040,FULL,264,100.0,AC
1557538637222,FULL,264,100.0,AC
1557538655396,FULL,264,100.0,AC
1557538660473,FULL,267,100.0,AC
1557538714110,FULL,276,100.0,AC
1557538775414,FULL,264,100.0,AC
1557538896060,FULL,262,100.0,AC
1557538955927,FULL,258,100.0,AC
1557539075416,FULL,255,100.0,AC
1557539135412,FULL,255,100.0,AC
1557539195416,FULL,255,100.0,AC
1557539615951,FULL,253,100.0,AC
1557539675659,FULL,253,100.0,AC
1557539831957,FULL,253,100.0,AC
1557539855419,FULL,253,100.0,AC
1557540035412,FULL,255,100.0,AC
1557540335407,FULL,253,100.0,AC
1557540784254,FULL,251,100.0,AC
1557540936376,FULL,249,100.0,AC
1557540989368,FULL,251,100.0,AC
1557541073918,FULL,253,100.0,AC
1557541115329,FULL,253,100.0,AC
1557541355907,FULL,253,100.0,AC
1557541416237,FULL,253,100.0,AC
1557541475397,FULL,251,100.0,AC
1557541512935,FULL,253,100.0,AC
1557541529318,FULL,255,100.0,AC
1557541548192,FULL,267,100.0,AC
1557541566309,FULL,269,100.0,AC
1557541570855,FULL,271,100.0,AC
1557541595416,FULL,267,100.0,AC
1557541612296,FULL,264,100.0,AC
1557541653729,FULL,262,100.0,AC
1557541716602,FULL,260,100.0,AC
1557541802630,FULL,260,100.0,AC
1557541819412,FULL,262,100.0,AC
1557541821740,FULL,262,100.0,AC
1557541835326,FULL,264,100.0,AC
1557541842766,FULL,269,100.0,AC
1557541860894,FULL,269,100.0,AC
1557541895397,FULL,264,100.0,AC
1557541943738,FULL,262,100.0,AC
1557541955403,FULL,262,100.0,AC
1557542113987,FULL,258,100.0,AC
1557542126975,FULL,258,100.0,AC
1557542255434,FULL,271,100.0,AC
1557542315421,FULL,264,100.0,AC
1557542375426,FULL,262,100.0,AC
1557542436017,FULL,260,100.0,AC
1557540035412,FULL,255,100.0,AC
1557542496264,FULL,260,100.0,AC
1557542616249,FULL,258,100.0,AC
1557540335407,FULL,253,100.0,AC
1557542647913,FULL,255,100.0,AC
1557542651790,FULL,255,100.0,AC
1557542675405,FULL,258,100.0,AC
1557540784254,FULL,251,100.0,AC
1557542730833,FULL,262,100.0,AC
1557542735392,FULL,271,100.0,AC
1557542737534,FULL,271,100.0,AC
1557542772412,FULL,282,100.0,AC
