timestamp,CaloriesToday,Calories
1557456567897,894,18792
1557456568955,894,18792
1557456569954,894,18792
1557456570983,894,18792
1557456571996,894,18792
1557456573009,894,18792
1557456574068,894,18792
1557456575100,894,18792
1557456576089,894,18792
1557456577141,894,18792
1557456578141,894,18792
1557456579178,894,18792
1557456580213,894,18793
1557456581266,894,18793
1557456582267,894,18793
1557456583272,894,18793
1557456584327,894,18793
1557456585340,894,18793
1557456586332,895,18793
1557456587364,895,18793
1557456588416,895,18793
1557456589415,895,18793
1557456590444,895,18793
1557456591468,895,18793
1557456592466,895,18793
1557456593540,895,18793
1557456594525,895,18793
1557456595590,895,18793
1557456596586,895,18793
1557456597600,895,18793
1557456598642,895,18793
1557456599677,895,18793
1557456600692,895,18793
1557456601717,895,18793
1557456602723,895,18793
1557456603763,895,18793
1557456604792,895,18793
1557456605812,895,18793
1557456606836,895,18793
1557456607864,895,18793
1557456608871,895,18793
1557456609905,895,18793
1557456610925,895,18793
1557456611942,895,18793
1557456612976,895,18793
1557456614001,895,18793
1557456615011,895,18793
1557456616056,895,18793
1557456617052,895,18793
1557456618099,895,18793
1557456619133,895,18793
1557456620146,895,18793
1557456621183,895,18793
1557456622203,895,18793
1557456623218,895,18793
1557456624240,895,18793
1557456625278,895,18794
1557456626289,895,18794
1557456627325,895,18794
1557456628325,895,18794
1557456629377,895,18794
1557456630386,895,18794
1557456631418,896,18794
1557456632426,896,18794
1557456633469,896,18794
1557456634474,896,18794
1557456635509,896,18794
1557456636526,896,18794
1557456637571,896,18794
1557456638572,896,18794
1557456639619,896,18794
1557456640631,896,18794
1557456641686,896,18794
1557456642687,896,18794
1557456643699,896,18794
1557456644736,896,18794
1557456645750,896,18794
1557456646778,896,18794
1557456647807,896,18794
1557456648817,896,18794
1557456649868,896,18794
1557456650874,896,18794
1557456651921,896,18794
1557456652918,896,18794
1557456653930,896,18794
1557456654958,896,18794
1557456655998,896,18794
1557456657030,896,18794
1557456658064,896,18794
1557456659077,896,18794
1557456660106,896,18794
1557456661118,896,18794
1557456662150,896,18794
1557456663170,896,18794
1557456664170,896,18794
1557456665219,896,18794
1557456666237,896,18794
1557456667260,896,18794
1557456668295,896,18794
1557456669317,896,18794
1557456670347,896,18795
1557456671366,896,18795
1557456672383,896,18795
1557456673419,896,18795
1557456674438,896,18795
1557456675449,896,18795
1557456676491,896,18795
1557456677499,897,18795
1557456678564,897,18795
1557456679550,897,18795
1557456680594,897,18795
1557456681588,897,18795
1557456682630,897,18795
1557456683641,897,18795
1557456684674,897,18795
1557456685703,897,18795
1557456686730,897,18795
1557456687743,897,18795
1557456688774,897,18795
1557456689784,897,18795
1557456690817,897,18795
1557456691826,897,18795
1557456692860,897,18795
1557456693905,897,18795
1557456694905,897,18795
1557456695943,897,18795
1557456696961,897,18795
1557456697993,897,18795
1557456699004,897,18795
1557456700029,897,18795
1557456701060,897,18795
1557456702087,897,18795
1557456703099,897,18795
1557456704146,897,18795
1557456705140,897,18795
1557456706194,897,18795
1557456707222,897,18795
1557456708236,897,18795
1557456709241,897,18795
1557456710256,897,18795
1557456711295,897,18795
1557456712318,897,18795
1557456713370,897,18795
1557456714381,897,18795
1557456715405,897,18795
1557456716430,897,18796
1557456717453,897,18796
1557456718481,897,18796
1557456719506,897,18796
1557456720498,897,18796
1557456721549,897,18796
1557456722579,897,18796
1557456723598,898,18796
1557456724619,898,18796
1557456725626,898,18796
1557456726670,898,18796
1557456727686,898,18796
1557456728697,898,18796
1557456729726,898,18796
1557456730738,898,18796
1557456731789,898,18796
1557456732798,898,18796
1557456733813,898,18796
1557456734858,898,18796
1557456735876,898,18796
1557456736891,898,18796
1557456737933,898,18796
1557456738946,898,18796
1557456739980,898,18796
1557456740987,898,18796
1557456742050,898,18796
1557456743049,898,18796
1557456744062,898,18796
1557456745101,898,18796
1557456746097,898,18796
1557456747145,898,18796
1557456748159,898,18796
1557456749197,898,18796
1557456750227,898,18796
1557456751230,898,18796
1557456752242,898,18796
1557456753272,898,18796
1557456754301,898,18796
1557456755329,898,18796
1557456756360,898,18796
1557456757372,898,18796
1557456758423,898,18796
1557456759446,898,18796
1557456760461,898,18796
1557456761492,898,18796
1557456762489,898,18796
1557456763531,898,18797
1557456764562,898,18797
1557456765575,898,18797
1557456766635,898,18797
1557456767616,898,18797
1557456768644,898,18797
1557456769679,898,18797
1557456770681,898,18797
1557456771711,898,18797
1557456772754,898,18797
1557456773751,898,18797
1557456774784,898,18797
1557456775828,898,18797
1557456776869,898,18797
1557456777870,898,18797
1557456778895,899,18797
1557456779918,899,18797
1557456780930,899,18797
1557456781970,899,18797
1557456782966,899,18797
1557456784008,899,18797
1557456785071,899,18797
1557456786037,899,18797
1557456787093,899,18797
1557456788145,899,18797
1557456789133,899,18797
1557456790160,899,18797
1557456791178,899,18797
1557456792205,899,18797
1557456793211,899,18797
1557456794248,899,18797
1557456795267,899,18797
1557456796287,899,18797
1557456797314,899,18797
1557456798343,899,18797
1557456799371,899,18797
1557456800429,899,18797
1557456801427,899,18797
1557456802459,899,18797
1557456803462,899,18797
1557456804491,899,18797
1557456805526,899,18797
1557456806565,899,18797
1557456807578,899,18797
1557456808587,899,18797
1557456809610,899,18798
1557456810627,899,18798
1557456811676,899,18798
1557456812689,899,18798
1557456813704,899,18798
1557456814725,899,18798
1557456815765,899,18798
1557456816772,899,18798
1557456817817,899,18798
1557456818823,899,18798
1557456819843,899,18798
1557456820869,899,18798
1557456821913,899,18798
1557456822924,899,18798
1557456823968,899,18798
1557456824971,900,18798
1557456826001,900,18798
1557456827048,900,18798
1557456828042,900,18798
1557456829083,900,18798
1557456830099,900,18798
1557456831134,900,18798
1557456832123,900,18798
1557456833180,900,18798
1557456834204,900,18798
1557456835209,900,18798
1557456836226,900,18798
1557456837277,900,18798
1557456838314,900,18798
1557456839328,900,18798
1557456840333,900,18798
1557456841358,900,18798
1557456842398,900,18799
1557456843430,900,18799
1557456844463,900,18799
1557456845441,900,18799
1557456846486,900,18799
1557456847529,900,18799
1557456848568,900,18799
1557456849555,900,18799
1557456850599,900,18799
1557456851619,900,18799
1557456852670,900,18799
1557456853664,900,18799
1557456854670,900,18799
1557456855714,900,18799
1557456856742,901,18799
1557456857781,901,18799
1557456858779,901,18799
1557456859792,901,18799
1557456860834,901,18799
1557456861870,901,18799
1557456862863,901,18799
1557456863892,901,18799
1557456864933,901,18799
1557456865939,901,18799
1557456866979,901,18799
1557456867975,901,18799
1557456869004,901,18799
1557456870024,901,18799
1557456871069,901,18799
1557456872090,901,18799
1557456873098,901,18799
1557456874124,901,18799
1557456875143,901,18799
1557456876185,901,18800
1557456877193,901,18800
1557456878210,901,18800
1557456879240,901,18800
1557456880284,901,18800
1557456881305,901,18800
1557456882328,901,18800
1557456883349,901,18800
1557456884359,901,18800
1557456885399,901,18800
1557456886415,901,18800
1557456887426,901,18800
1557456888465,901,18800
1557456889491,901,18800
1557456890496,901,18800
1557456891540,901,18800
1557456892574,901,18800
1557456893572,901,18800
1557456894599,901,18800
1557456895630,901,18800
1557456896653,901,18800
1557456897679,901,18800
1557456898702,901,18800
1557456899731,901,18800
1557456900740,901,18800
1557456901776,902,18800
1557456902797,902,18800
1557456903833,902,18800
1557456904843,902,18800
1557456905875,902,18800
1557456906897,902,18800
1557456907916,902,18800
1557456908930,902,18800
