timestamp,CaloriesToday,Calories
1557375391107,909,17040
1557375392173,909,17040
1557375393223,909,17040
1557375394260,909,17040
1557375395316,909,17040
1557375396354,909,17040
1557375397368,909,17040
1557375398433,909,17040
1557375399498,909,17040
1557375400522,909,17040
1557375401577,909,17040
1557375402626,909,17040
1557375403663,909,17040
1557375404695,909,17040
1557375405764,909,17040
1557375406780,909,17040
1557375407834,909,17040
1557375408894,909,17040
1557375409929,909,17040
1557375410987,909,17040
1557375412028,909,17040
1557375413058,909,17040
1557375414111,909,17040
1557375415158,909,17041
1557375416209,909,17041
1557375417252,909,17041
1557375418288,909,17041
1557375419341,909,17041
1557375420393,909,17041
1557375421431,909,17041
1557375422481,909,17041
1557375423514,909,17041
1557375424565,909,17041
1557375425606,909,17041
1557375426669,909,17041
1557375427712,909,17041
1557375428710,909,17041
1557375429734,909,17041
1557375430751,909,17041
1557375431781,909,17041
1557375432810,909,17041
1557375433845,909,17041
1557375434865,909,17041
1557375435897,909,17041
1557375436932,909,17041
1557375437935,909,17041
1557375438960,909,17041
1557375440006,909,17041
1557375441005,909,17041
1557375442038,909,17041
1557375443067,909,17041
1557375444078,909,17041
1557375445116,909,17041
1557375446124,909,17041
1557375447163,909,17041
1557375448182,909,17041
1557375449199,909,17041
1557375450225,909,17041
1557375451261,909,17041
1557375452290,909,17041
1557375453293,909,17041
1557375454320,909,17041
1557375455339,909,17041
1557375456384,909,17041
1557375457405,909,17041
1557375458413,910,17041
1557375459441,910,17041
1557375460477,910,17041
1557375461504,910,17042
1557375462530,910,17042
1557375463557,910,17042
1557375464568,910,17042
1557375465599,910,17042
1557375466634,910,17042
1557375467662,910,17042
1557375468657,910,17042
1557375469687,910,17042
1557375470737,910,17042
1557375471724,910,17042
1557375472770,910,17042
1557375473805,910,17042
1557375474815,910,17042
1557375475827,910,17042
1557375476863,910,17042
1557375477872,910,17042
1557375478918,910,17042
1557375479939,910,17042
1557375480958,910,17042
1557375481976,910,17042
1557375483023,910,17042
1557375484050,910,17042
1557375485058,910,17042
1557375486092,910,17042
1557375487096,910,17042
1557375488123,910,17042
1557375489158,910,17042
1557375490178,910,17042
1557375491197,910,17042
1557375492234,910,17042
1557375493263,910,17042
1557375494275,910,17042
1557375495308,910,17042
1557375496310,910,17042
1557375497348,910,17042
1557375498371,910,17042
1557375499400,910,17042
1557375500419,910,17042
1557375501452,910,17042
1557375502472,910,17042
1557375503502,910,17042
1557375504523,911,17042
1557375505550,911,17042
1557375506557,911,17042
1557375507602,911,17043
1557375508612,911,17043
1557375509626,911,17043
1557375510678,911,17043
1557375511708,911,17043
1557375512712,911,17043
1557375513749,911,17043
1557375514744,911,17043
1557375515776,911,17043
1557375516807,911,17043
1557375517826,911,17043
1557375518857,911,17043
1557375519888,911,17043
1557375520919,911,17043
1557375521945,911,17043
1557375522956,911,17043
1557375523979,911,17043
1557375524998,911,17043
1557375526045,911,17043
1557375527063,911,17043
1557375528081,911,17043
1557375529093,911,17043
1557375530134,911,17043
1557375531155,911,17043
1557375532169,911,17043
1557375533203,911,17043
1557375534218,911,17043
1557375535240,911,17043
1557375536274,911,17043
1557375537287,911,17043
1557375538325,911,17043
1557375539328,911,17043
1557375540363,911,17043
1557375541389,911,17043
1557375542397,911,17043
1557375543444,911,17043
1557375544468,911,17043
1557375545474,911,17043
1557375546510,911,17043
1557375547536,911,17043
1557375548560,911,17043
1557375549585,911,17043
1557375550602,912,17043
1557375551642,912,17043
1557375552665,912,17043
1557375553688,912,17044
1557375554701,912,17044
1557375555720,912,17044
1557375556764,912,17044
1557375557775,912,17044
1557375558816,912,17044
1557375559844,912,17044
1557375560853,912,17044
1557375561880,912,17044
1557375562920,912,17044
1557375563921,912,17044
1557375564969,912,17044
1557375565987,912,17044
1557375566995,912,17044
1557375568032,912,17044
1557375569055,912,17044
1557375570066,912,17044
1557375571090,912,17044
1557375572122,912,17044
1557375573137,912,17044
1557375574156,912,17044
1557375575209,912,17044
1557375576218,912,17044
1557375577261,912,17044
1557375578282,912,17044
1557375579278,912,17044
1557375580306,912,17044
1557375581336,912,17044
1557375582365,912,17044
1557375583370,912,17044
1557375584402,912,17044
1557375585437,912,17044
1557375586478,912,17044
1557375587482,912,17044
1557375588523,912,17044
1557375589546,912,17044
1557375590559,912,17044
1557375591591,912,17044
1557375592602,912,17044
1557375593646,912,17044
1557375594647,912,17044
1557375595677,912,17044
1557375596702,913,17044
1557375597718,913,17044
1557375598767,913,17044
1557375599783,913,17045
1557375600826,913,17045
1557375601819,913,17045
1557375602862,913,17045
1557375603871,913,17045
1557375604906,913,17045
1557375605923,913,17045
1557375606933,913,17045
1557375607959,913,17045
1557375609011,913,17045
1557375610031,913,17045
1557375611033,913,17045
1557375612072,913,17045
1557375613099,913,17045
1557375614156,913,17045
1557375615148,913,17045
1557375616183,913,17045
1557375617188,913,17045
1557375618221,913,17045
1557375619233,913,17045
1557375620278,913,17045
1557375621313,913,17045
1557375622300,913,17045
1557375623323,913,17045
1557375624349,913,17045
1557375625386,913,17045
1557375626406,913,17045
1557375627414,913,17045
1557375628466,913,17045
1557375629516,913,17045
1557375630525,913,17045
1557375631516,913,17045
1557375632551,913,17045
1557375633581,913,17045
1557375634602,913,17045
1557375635622,913,17045
1557375636645,913,17045
1557375637681,913,17045
1557375638691,913,17045
1557375639755,913,17045
1557375640757,913,17045
1557375641758,913,17045
1557375642794,914,17045
1557375643821,914,17045
1557375644843,914,17046
1557375645874,914,17046
1557375646876,914,17046
1557375647925,914,17046
1557375648946,914,17046
1557375649965,914,17046
1557375650982,914,17046
1557375652011,914,17046
1557375653030,914,17046
1557375654053,914,17046
1557375655085,914,17046
1557375656116,914,17046
1557375657130,914,17046
1557375658161,914,17046
1557375659173,914,17046
1557375660201,914,17046
1557375661237,914,17046
1557375662261,914,17046
1557375663289,914,17046
1557375664318,914,17046
1557375665320,914,17046
1557375666363,914,17046
1557375667392,914,17046
1557375668413,914,17046
1557375669420,914,17046
1557375670474,914,17046
1557375671465,914,17046
1557375672495,914,17046
1557375673517,914,17046
1557375674536,914,17046
1557375675592,914,17046
1557375676604,914,17046
1557375677602,914,17046
1557375678641,914,17046
1557375679677,914,17046
1557375680672,914,17046
1557375681709,914,17046
1557375682732,914,17046
1557375683744,914,17046
1557375684788,914,17046
1557375685832,914,17046
1557375686818,914,17046
1557375687844,914,17046
1557375688873,915,17046
1557375689907,915,17046
1557375690917,915,17047
1557375691963,915,17047
1557375692989,915,17047
1557375694014,915,17047
1557375695037,915,17047
1557375696043,915,17047
1557375697074,915,17047
1557375698118,915,17047
1557375699105,915,17047
1557375700138,915,17047
1557375701165,915,17047
1557375702210,915,17047
1557375703202,915,17047
1557375704244,915,17047
1557375705268,915,17047
1557375706312,915,17047
1557375707315,915,17047
1557375708329,915,17047
1557375709363,915,17047
1557375710397,915,17047
1557375711434,915,17047
1557375712456,915,17047
1557375713479,915,17047
1557375714473,915,17047
1557375715517,915,17047
1557375716553,915,17047
1557375717551,915,17047
1557375718583,915,17047
1557375719626,915,17047
1557375720614,915,17047
1557375721672,915,17047
1557375722676,915,17047
1557375723698,915,17047
1557375724731,915,17047
1557375725762,915,17047
1557375726793,915,17047
1557375727803,915,17047
1557375728833,915,17047
1557375729847,915,17047
1557375730866,915,17047
1557375731888,915,17047
1557375732903,915,17047
1557375733929,915,17047
1557375734971,916,17047
1557375735996,916,17047
1557375737033,916,17048
1557375738049,916,17048
1557375739074,916,17048
1557375740084,916,17048
1557375741106,916,17048
1557375742151,916,17048
1557375743170,916,17048
1557375744195,916,17048
1557375745213,916,17048
1557375746249,916,17048
1557375747272,916,17048
1557375748275,916,17048
1557375749321,916,17048
1557375750344,916,17048
1557375751344,916,17048
1557375752393,916,17048
1557375753408,916,17048
1557375754425,916,17048
1557375755443,916,17048
1557375756479,916,17048
1557375757514,916,17048
1557375758529,916,17048
1557375759549,916,17048
1557375760582,916,17048
1557375761595,916,17048
1557375762631,916,17048
1557375763649,916,17048
1557375764661,916,17048
1557375765691,916,17048
1557375766710,916,17048
1557375767752,916,17048
1557375768759,916,17048
1557375769775,916,17048
1557375770803,916,17048
1557375771831,916,17048
1557375772873,916,17048
1557375773891,916,17048
1557375774923,916,17048
1557375775915,916,17048
1557375776967,916,17048
1557375777993,916,17048
1557375779020,916,17048
1557375780029,916,17048
1557375781064,917,17048
1557375782095,917,17048
1557375783109,917,17049
1557375784143,917,17049
1557375785164,917,17049
1557375786188,917,17049
1557375787205,917,17049
1557375788229,917,17049
1557375789248,917,17049
1557375790276,917,17049
1557375791312,917,17049
1557375792300,917,17049
1557375793356,917,17049
1557375794382,917,17049
1557375795401,917,17049
1557375796412,917,17049
1557375797456,917,17049
1557375798465,917,17049
1557375799506,917,17049
1557375800518,917,17049
1557375801543,917,17049
1557375802573,917,17049
1557375803587,917,17049
1557375804614,917,17049
1557375805651,917,17049
1557375806661,917,17049
1557375807686,917,17049
1557375808706,917,17049
1557375809739,917,17049
1557375810768,917,17049
1557375811776,917,17049
1557375812805,917,17049
1557375813827,917,17049
1557375814864,917,17049
1557375815864,917,17049
1557375816901,917,17049
1557375817935,917,17049
1557375818946,917,17049
1557375819978,917,17049
1557375820987,917,17049
1557375822026,917,17049
1557375823044,917,17049
1557375824067,917,17049
1557375825104,917,17049
1557375826133,917,17049
1557375827136,918,17049
1557375828147,918,17049
1557375829188,918,17050
1557375830214,918,17050
1557375831214,918,17050
1557375832249,918,17050
1557375833274,918,17050
1557375834302,918,17050
1557375835320,918,17050
1557375836366,918,17050
1557375837397,918,17050
1557375838391,918,17050
1557375839426,918,17050
1557375840450,918,17050
1557375841477,918,17050
1557375842511,918,17050
1557375843528,918,17050
1557375844544,918,17050
1557375845571,918,17050
1557375846592,918,17050
1557375847617,918,17050
1557375848643,918,17050
1557375849664,918,17050
1557375850712,918,17050
1557375851718,918,17050
1557375852731,918,17050
1557375853759,918,17050
1557375854788,918,17050
1557375855819,918,17050
1557375856851,918,17050
