timestamp,status,temperature,level,plugged
1557363960478,FULL,268,100.0,AC
1557364050830,FULL,283,100.0,AC
1557364164662,DISCHARGING,293,100.0,UNDEFINED
1557364315083,DISCHARGING,304,100.0,UNDEFINED
1557364495737,DISCHARGING,305,99.0,UNDEFINED
1557364866087,DISCHARGING,297,99.0,UNDEFINED
1557365186115,DISCHARGING,286,99.0,UNDEFINED
1557365550120,DISCHARGING,297,99.0,UNDEFINED
1557365784407,DISCHARGING,294,98.0,UNDEFINED
1557367351458,DISCHARGING,291,97.0,UNDEFINED
1557367918774,DISCHARGING,290,96.0,UNDEFINED
1557368159831,DISCHARGING,297,95.0,UNDEFINED
1557368461370,DISCHARGING,292,95.0,UNDEFINED
1557368611936,DISCHARGING,285,94.0,UNDEFINED
1557369082521,DISCHARGING,283,93.0,UNDEFINED
1557369112637,DISCHARGING,285,93.0,UNDEFINED
1557369172821,DISCHARGING,291,93.0,UNDEFINED
1557369293238,DISCHARGING,302,93.0,UNDEFINED
1557369383594,DISCHARGING,306,92.0,UNDEFINED
1557369473909,DISCHARGING,314,92.0,UNDEFINED
1557369594334,DISCHARGING,325,92.0,UNDEFINED
1557369711243,DISCHARGING,324,91.0,UNDEFINED
1557369999173,DISCHARGING,316,90.0,UNDEFINED
1557370069150,DISCHARGING,318,90.0,UNDEFINED
1557370179062,DISCHARGING,326,90.0,UNDEFINED
1557370244348,DISCHARGING,338,89.0,UNDEFINED
1557370364861,DISCHARGING,332,89.0,UNDEFINED
1557370377110,DISCHARGING,333,89.0,UNDEFINED
1557370565156,DISCHARGING,321,89.0,UNDEFINED
1557370568704,DISCHARGING,320,88.0,UNDEFINED
1557370636109,DISCHARGING,309,88.0,UNDEFINED
1557371082164,DISCHARGING,298,88.0,UNDEFINED
1557371317219,DISCHARGING,303,88.0,UNDEFINED
1557371325914,DISCHARGING,306,87.0,UNDEFINED
1557371440428,DISCHARGING,318,87.0,UNDEFINED
1557371530716,DISCHARGING,328,86.0,UNDEFINED
