timestamp,status,temperature,level,plugged
1557273738981,DISCHARGING,290,95.0,UNDEFINED
1557273799141,DISCHARGING,293,95.0,UNDEFINED
1557273889445,DISCHARGING,305,95.0,UNDEFINED
1557273919537,DISCHARGING,309,94.0,UNDEFINED
1557274039958,DISCHARGING,304,94.0,UNDEFINED
1557274070047,DISCHARGING,307,94.0,UNDEFINED
1557274220609,DISCHARGING,308,93.0,UNDEFINED
1557274280854,DISCHARGING,308,93.0,UNDEFINED
1557274431450,DISCHARGING,298,93.0,UNDEFINED
1557274491681,DISCHARGING,310,93.0,UNDEFINED
1557274551883,DISCHARGING,309,92.0,UNDEFINED
1557274822882,DISCHARGING,320,91.0,UNDEFINED
1557274913214,DISCHARGING,322,91.0,UNDEFINED
1557274943338,DISCHARGING,326,91.0,UNDEFINED
1557275033645,DISCHARGING,321,91.0,UNDEFINED
1557275063816,DISCHARGING,316,90.0,UNDEFINED
1557275123969,DISCHARGING,324,90.0,UNDEFINED
1557275364875,DISCHARGING,330,89.0,UNDEFINED
1557275575654,DISCHARGING,318,89.0,UNDEFINED
1557275665977,DISCHARGING,321,88.0,UNDEFINED
1557275997213,DISCHARGING,329,87.0,UNDEFINED
1557276298210,DISCHARGING,318,86.0,UNDEFINED
1557276599435,DISCHARGING,307,86.0,UNDEFINED
1557276719858,DISCHARGING,309,86.0,UNDEFINED
1557276750020,DISCHARGING,307,86.0,UNDEFINED
1557277051313,DISCHARGING,297,85.0,UNDEFINED
1557277322357,DISCHARGING,307,85.0,UNDEFINED
1557277382555,DISCHARGING,322,85.0,UNDEFINED
1557277412711,DISCHARGING,329,84.0,UNDEFINED
1557277472919,DISCHARGING,340,84.0,UNDEFINED
1557277503032,DISCHARGING,343,84.0,UNDEFINED
1557277533141,DISCHARGING,338,83.0,UNDEFINED
1557277623475,DISCHARGING,336,83.0,UNDEFINED
1557277683670,DISCHARGING,342,83.0,UNDEFINED
1557277743859,DISCHARGING,346,82.0,UNDEFINED
1557278075131,DISCHARGING,349,81.0,UNDEFINED
1557278165485,DISCHARGING,338,81.0,UNDEFINED
1557278285892,DISCHARGING,337,80.0,UNDEFINED
1557278376231,DISCHARGING,340,80.0,UNDEFINED
1557278436426,DISCHARGING,344,80.0,UNDEFINED
1557278526759,DISCHARGING,347,79.0,UNDEFINED
1557278948447,DISCHARGING,336,79.0,UNDEFINED
1557279309884,DISCHARGING,328,78.0,UNDEFINED
1557280364187,DISCHARGING,317,78.0,UNDEFINED
1557280816060,DISCHARGING,315,77.0,UNDEFINED
1557282231882,DISCHARGING,314,76.0,UNDEFINED
1557283045187,DISCHARGING,325,76.0,UNDEFINED
1557283406719,DISCHARGING,327,75.0,UNDEFINED
1557284129614,DISCHARGING,335,74.0,UNDEFINED
1557284400641,DISCHARGING,323,74.0,UNDEFINED
1557284460895,DISCHARGING,320,73.0,UNDEFINED
1557284792235,DISCHARGING,309,72.0,UNDEFINED
1557285093493,DISCHARGING,298,72.0,UNDEFINED
1557285515221,DISCHARGING,300,71.0,UNDEFINED
1557285756204,DISCHARGING,289,71.0,UNDEFINED
1557285967032,DISCHARGING,283,71.0,UNDEFINED
1557285997150,DISCHARGING,284,71.0,UNDEFINED
1557286027248,DISCHARGING,287,70.0,UNDEFINED
1557286237948,DISCHARGING,292,69.0,UNDEFINED
1557286328242,DISCHARGING,303,69.0,UNDEFINED
1557286388453,DISCHARGING,311,68.0,UNDEFINED
1557286418610,DISCHARGING,309,68.0,UNDEFINED
1557286599217,DISCHARGING,308,67.0,UNDEFINED
1557286900303,DISCHARGING,307,67.0,UNDEFINED
1557287020824,DISCHARGING,300,66.0,UNDEFINED
1557287201510,DISCHARGING,289,66.0,UNDEFINED
1557287592987,DISCHARGING,295,65.0,UNDEFINED
1557287833881,DISCHARGING,308,65.0,UNDEFINED
1557287924316,DISCHARGING,323,64.0,UNDEFINED
1557288345801,DISCHARGING,328,63.0,UNDEFINED
1557288556604,DISCHARGING,334,62.0,UNDEFINED
1557288797435,DISCHARGING,341,61.0,UNDEFINED
1557289008431,DISCHARGING,340,60.0,UNDEFINED
1557289098698,DISCHARGING,341,60.0,UNDEFINED
1557289158884,DISCHARGING,348,59.0,UNDEFINED
1557289189011,DISCHARGING,351,59.0,UNDEFINED
1557289249170,DISCHARGING,353,59.0,UNDEFINED
1557289279253,DISCHARGING,355,58.0,UNDEFINED
1557289399646,DISCHARGING,361,57.0,UNDEFINED
1557289459860,DISCHARGING,364,57.0,UNDEFINED
1557289580264,DISCHARGING,352,57.0,UNDEFINED
1557289610359,DISCHARGING,352,56.0,UNDEFINED
1557289851259,DISCHARGING,342,55.0,UNDEFINED
1557290062019,DISCHARGING,334,55.0,UNDEFINED
1557290152369,DISCHARGING,339,54.0,UNDEFINED
1557290423418,DISCHARGING,348,53.0,UNDEFINED
1557290634107,DISCHARGING,353,52.0,UNDEFINED
1557290844897,DISCHARGING,357,51.0,UNDEFINED
1557291055681,DISCHARGING,361,51.0,UNDEFINED
1557291085806,DISCHARGING,360,50.0,UNDEFINED
1557291507424,DISCHARGING,357,49.0,UNDEFINED
1557291808667,DISCHARGING,346,49.0,UNDEFINED
1557292230403,DISCHARGING,338,49.0,UNDEFINED
1557292290650,DISCHARGING,340,49.0,UNDEFINED
1557292381044,DISCHARGING,343,48.0,UNDEFINED
1557292742326,DISCHARGING,352,47.0,UNDEFINED
1557292922972,DISCHARGING,341,47.0,UNDEFINED
1557293043361,DISCHARGING,339,46.0,UNDEFINED
1557293193981,DISCHARGING,328,46.0,UNDEFINED
1557293314327,DISCHARGING,325,45.0,UNDEFINED
1557293404700,DISCHARGING,321,45.0,UNDEFINED
1557293525135,DISCHARGING,327,44.0,UNDEFINED
1557293856413,DISCHARGING,316,44.0,UNDEFINED
1557294007045,DISCHARGING,311,43.0,UNDEFINED
1557294368476,DISCHARGING,300,43.0,UNDEFINED
1557294519051,DISCHARGING,303,43.0,UNDEFINED
1557294579265,DISCHARGING,309,43.0,UNDEFINED
1557294609395,DISCHARGING,310,42.0,UNDEFINED
1557294820171,DISCHARGING,322,42.0,UNDEFINED
1557295121277,DISCHARGING,332,41.0,UNDEFINED
