timestamp,CaloriesToday,Calories
1557457865625,827,11177
1557457866643,827,11177
1557457867653,827,11177
1557457868698,827,11177
1557457869710,827,11177
1557457870722,827,11177
1557457871759,827,11177
1557457872798,827,11177
1557457873791,827,11177
1557457874819,827,11178
1557457875845,827,11178
1557457876865,827,11178
1557457877876,827,11178
1557457878920,827,11178
1557457879953,827,11178
1557457880953,827,11178
1557457881977,827,11178
1557457883026,827,11178
1557457884043,827,11178
1557457885067,827,11178
1557457886085,827,11178
1557457887108,827,11178
1557457888150,827,11178
1557457889157,827,11178
1557457890203,827,11178
1557457891214,827,11178
1557457892217,827,11178
1557457893249,828,11178
1557457894294,828,11178
1557457895298,828,11178
1557457896333,828,11178
1557457897357,828,11178
1557457898364,828,11178
1557457899404,828,11178
1557457900425,828,11178
1557457901438,828,11178
1557457902473,828,11179
1557457903505,828,11179
1557457904516,828,11179
1557457905560,828,11179
1557457906566,828,11179
1557457907597,828,11179
1557457908625,828,11179
1557457909692,828,11179
1557457910648,828,11179
1557457911690,828,11179
1557457912714,828,11179
1557457913723,828,11179
1557457914749,828,11179
1557457915788,828,11179
1557457916803,828,11179
1557457917836,828,11179
1557457918862,828,11179
1557457919876,828,11179
1557457920912,828,11179
1557457921936,828,11179
1557457922940,828,11179
1557457923980,828,11179
1557457925004,828,11179
1557457926027,828,11179
1557457927042,829,11179
1557457928076,829,11179
1557457929098,829,11179
1557457930122,829,11179
1557457931149,829,11179
1557457932165,829,11180
1557457933205,829,11180
1557457934244,829,11180
1557457935249,829,11180
1557457936290,829,11180
1557457937306,829,11180
1557457938322,829,11180
1557457939327,829,11180
1557457940353,829,11180
1557457941402,829,11180
1557457942423,829,11180
1557457943437,829,11180
1557457944461,829,11180
1557457945500,829,11180
1557457946521,829,11180
1557457947524,829,11180
1557457948559,829,11180
1557457949590,829,11180
1557457950598,829,11180
1557457951644,829,11180
1557457952658,829,11180
1557457953679,829,11180
1557457954693,829,11180
1557457955753,829,11180
1557457956736,829,11180
1557457957763,829,11180
1557457958809,829,11180
1557457959826,829,11180
1557457960846,830,11180
1557457961864,830,11180
1557457962886,830,11181
1557457963921,830,11181
1557457964942,830,11181
1557457966073,830,11181
1557457966994,830,11181
1557457968006,830,11181
1557457969026,830,11181
1557457970068,830,11181
1557457971158,830,11181
1557457972110,830,11181
1557457973122,830,11181
1557457974167,830,11181
1557457975198,830,11181
1557457976219,830,11181
1557457977222,830,11181
1557457978274,830,11181
1557457979285,830,11181
1557457980318,830,11181
1557457981326,830,11181
1557457982335,830,11181
1557457983368,830,11181
1557457984407,830,11181
1557457985423,830,11181
1557457986437,830,11181
1557457987482,830,11181
1557457988498,830,11181
1557457989525,830,11181
1557457990545,830,11181
1557457991582,830,11181
1557457992600,830,11181
1557457993627,830,11182
1557457994639,830,11182
1557457995670,830,11182
1557457996699,830,11182
1557457997728,830,11182
1557457998743,830,11182
1557457999764,830,11182
1557458000799,830,11182
1557458001831,830,11182
1557458002835,830,11182
1557458003869,830,11182
1557458004895,830,11182
1557458005899,830,11182
1557458006938,831,11182
1557458007956,831,11182
1557458008963,831,11182
1557458009993,831,11182
1557458011043,831,11182
1557458012041,831,11182
1557458013084,831,11182
1557458014102,831,11182
1557458015147,831,11182
1557458016165,831,11182
1557458017168,831,11182
1557458018253,831,11182
1557458019210,831,11182
1557458020244,831,11182
1557458021255,831,11182
1557458022361,831,11182
1557458023315,831,11182
1557458024343,831,11182
1557458025352,831,11182
1557458026375,831,11182
1557458027439,831,11182
1557458028444,831,11182
1557458029463,831,11182
1557458030481,831,11182
