timestamp,Temperature
1557819694666,29.7099990845
1557819715469,29.7700004578
1557819745564,29.8099994659
1557819775661,29.9400005341
1557819805750,30.0599994659
1557819835823,30.2399997711
1557819865898,30.4799995422
1557819896001,30.6299991608
1557819926056,30.7999992371
1557819956141,30.9200000763
1557819986303,31.1100006104
1557820016313,31.2000007629
1557820046374,31.3400001526
1557820076463,31.4099998474
1557820106556,31.4099998474
1557820136717,31.2999992371
1557820166736,31.1399993896
1557820196803,30.9699993134
1557820226932,30.75
1557820256961,30.5900001526
1557820287027,30.4699993134
1557820317104,30.3600006104
1557820347191,30.25
1557820377300,30.1299991608
1557820407358,30.0300006866
1557820437451,29.8799991608
1557820467529,29.6900005341
1557820497614,29.4599990845
1557820527699,29.3700008392
1557820557789,29.3099994659
1557820587843,29.2999992371
1557820617950,29.3099994659
1557820648038,29.2600002289
1557820678096,29.2299995422
1557820708187,29.2199993134
1557820738259,29.2399997711
1557820768356,29.2900009155
1557820798436,29.3500003815
1557820828528,29.3700008392
1557820858596,29.3899993896
1557820888703,29.4400005341
1557820918751,29.4500007629
1557820948829,29.5
1557820978913,29.5599994659
1557821009010,29.6399993896
1557821039092,29.75
1557821069170,29.8700008392
1557821099260,30.0100002289
1557821129326,30.1800003052
1557821159424,30.2700004578
1557821189491,30.3500003815
1557821219575,30.3899993896
1557821249661,30.4500007629
1557821279727,30.5400009155
1557821309848,30.6000003815
1557821339915,30.6700000763
1557821369996,30.7199993134
1557821400068,30.7700004578
1557821430146,30.8199996948
1557821460232,30.8600006104
1557821490339,30.9200000763
1557821520387,30.9899997711
1557821550469,31.0499992371
1557821580555,31.0799999237
1557821610646,31.1000003815
1557821640737,31.1499996185
1557821670807,31.1900005341
1557821700890,31.2299995422
1557821730968,31.2600002289
1557821761048,31.2900009155
1557821791124,31.2999992371
1557821821215,31.3299999237
1557821851306,31.3600006104
1557821881383,31.3799991608
1557821911485,31.3999996185
1557821941566,31.4200000763
1557821971637,31.4400005341
1557822001709,31.4599990845
1557822031813,31.4799995422
1557822061854,31.5100002289
1557822091957,31.5499992371
1557822122028,31.5699996948
1557822152100,31.5900001526
1557822182183,31.5900001526
1557822212280,31.6200008392
1557822242377,31.6499996185
1557822272434,31.6800003052
1557822302517,31.6900005341
1557822332612,31.7000007629
1557822362679,31.6900005341
1557822392764,31.6800003052
1557822422853,31.6599998474
1557822452945,31.6700000763
1557822483004,31.6800003052
1557822513135,31.6900005341
1557822543199,31.6800003052
1557822573303,31.6700000763
1557822603339,31.6800003052
1557822633426,31.6800003052
1557822663509,31.6599998474
1557822693588,31.6200008392
1557822723680,31.6200008392
1557822753746,31.6100006104
1557822783835,31.5900001526
1557822813914,31.6000003815
1557822844002,31.5900001526
1557822874082,31.5699996948
1557822904147,31.5799999237
1557822934255,31.5499992371
1557822964323,31.5400009155
1557822994422,31.5100002289
1557823024476,31.4799995422
1557823054560,31.4899997711
1557823084653,31.5100002289
1557823114736,31.5300006866
1557823144812,31.5400009155
1557823174909,31.5599994659
1557823204994,31.5900001526
1557823235056,31.6200008392
1557823265140,31.6599998474
1557823295238,31.7199993134
1557823325320,31.8099994659
1557823355396,31.8799991608
1557823385470,31.9300003052
1557823415548,31.9799995422
1557823445635,32.0499992371
1557823475729,32.0999984741
1557823505789,32.1599998474
1557823535893,32.1599998474
1557823565960,32.1199989319
1557823596056,32.0900001526
1557823626128,32.1199989319
1557823656207,32.0999984741
1557823686300,32.0499992371
1557823716376,31.9500007629
1557823746457,31.9300003052
1557823776523,31.9300003052
1557823806616,31.8999996185
1557823836692,31.8700008392
1557823866793,31.8999996185
1557823896863,31.9400005341
1557823926948,32.0299987793
1557823957014,32.0900001526
1557823987111,32.1199989319
1557824017199,32.2099990845
1557824047300,32.25
1557824077344,32.2700004578
1557824107445,32.2900009155
1557824137505,32.3300018311
1557824167588,32.2999992371
1557824197688,32.2999992371
1557824228230,32.2999992371
1557824258292,32.3199996948
1557824288388,32.3300018311
1557824318509,32.3600006104
1557824348548,32.3600006104
1557824378609,32.3699989319
1557824408710,32.4199981689
1557824438797,32.4900016785
1557824468866,32.4900016785
1557824498994,32.5400009155
1557824529020,32.5400009155
1557824559102,32.5600013733
1557824589220,32.5600013733
1557824619285,32.5600013733
1557824649355,32.5999984741
1557824679429,32.5800018311
1557824709550,32.5600013733
1557824739629,32.6199989319
1557824769680,32.7099990845
1557824799779,32.7400016785
1557824829879,32.7299995422
1557824859949,32.6500015259
1557824890017,32.5600013733
1557824920109,32.3600006104
1557824950208,32.1599998474
1557824980289,31.8999996185
1557825010353,31.7199993134
1557825040449,31.5200004578
1557825070530,31.3799991608
1557825100620,31.3099994659
1557825130670,31.25
1557825160759,31.1200008392
1557825191109,31.1399993896
1557825220928,31.1800003052
1557825251000,31.1100006104
1557825281078,31.0400009155
1557825311184,31
1557825341266,30.9500007629
1557825371358,30.8299999237
1557825401446,30.8400001526
1557825431490,30.8600006104
1557825461570,30.8299999237
1557825491657,30.7999992371
1557825521740,30.8400001526
1557825551826,30.9099998474
1557825581891,30.9699993134
1557825611989,31.0300006866
1557825642133,31.1000003815
1557825672173,31.1399993896
1557825702238,31.1900005341
1557825732320,31.25
1557825762390,31.3099994659
1557825792496,31.3799991608
1557825822563,31.4599990845
1557825852640,31.5100002289
1557825882766,31.5699996948
1557825912812,31.6100006104
1557825942904,31.6700000763
1557825972974,31.7199993134
1557826003077,31.7600002289
1557826033150,31.8099994659
1557826063217,31.8299999237
1557826093295,31.9200000763
1557826123387,31.9799995422
1557826153461,32.0200004578
1557826183544,32.0200004578
1557826213630,32.0099983215
1557826243717,32.0099983215
1557826273799,32.0099983215
1557826303888,31.9599990845
1557826333977,31.9300003052
1557826364039,31.9099998474
1557826394136,31.8799991608
1557826424235,31.8199996948
1557826454283,31.75
1557826484379,31.6900005341
1557826514451,31.6700000763
1557826544528,31.6399993896
1557826574620,31.6100006104
1557826604699,31.6100006104
1557826634759,31.6000003815
1557826664856,31.5499992371
1557826694933,31.5300006866
1557826725030,31.4799995422
1557826755115,31.4799995422
