timestamp,status,temperature,level,plugged
1557360026927,DISCHARGING,268,99.0,UNDEFINED
1557360087386,DISCHARGING,270,99.0,UNDEFINED
1557360117607,DISCHARGING,273,99.0,UNDEFINED
1557360147841,DISCHARGING,275,99.0,UNDEFINED
1557360178070,DISCHARGING,278,99.0,UNDEFINED
1557360208309,DISCHARGING,280,99.0,UNDEFINED
1557360238531,DISCHARGING,282,99.0,UNDEFINED
1557360268772,DISCHARGING,286,98.0,UNDEFINED
1557360298990,DISCHARGING,289,98.0,UNDEFINED
1557360329212,DISCHARGING,287,98.0,UNDEFINED
1557360359972,DISCHARGING,285,98.0,UNDEFINED
1557360389889,DISCHARGING,285,98.0,UNDEFINED
1557360571228,DISCHARGING,284,98.0,UNDEFINED
1557360601447,DISCHARGING,283,98.0,UNDEFINED
1557360631676,DISCHARGING,282,98.0,UNDEFINED
1557360661899,DISCHARGING,283,98.0,UNDEFINED
1557360692130,DISCHARGING,285,98.0,UNDEFINED
1557360722345,DISCHARGING,288,98.0,UNDEFINED
1557360752675,DISCHARGING,290,98.0,UNDEFINED
1557360782906,DISCHARGING,292,98.0,UNDEFINED
1557360813271,DISCHARGING,293,98.0,UNDEFINED
1557360843628,DISCHARGING,296,98.0,UNDEFINED
1557360873816,DISCHARGING,298,97.0,UNDEFINED
1557360904142,DISCHARGING,300,97.0,UNDEFINED
1557360934344,DISCHARGING,301,97.0,UNDEFINED
1557360964579,DISCHARGING,302,97.0,UNDEFINED
1557360994822,DISCHARGING,303,97.0,UNDEFINED
1557361025062,DISCHARGING,305,97.0,UNDEFINED
1557361055287,DISCHARGING,310,97.0,UNDEFINED
1557361085515,DISCHARGING,311,97.0,UNDEFINED
1557361115742,DISCHARGING,309,97.0,UNDEFINED
1557361206692,DISCHARGING,308,97.0,UNDEFINED
1557361236851,DISCHARGING,308,97.0,UNDEFINED
1557361267080,DISCHARGING,309,97.0,UNDEFINED
1557361297300,DISCHARGING,308,97.0,UNDEFINED
1557361357742,DISCHARGING,307,97.0,UNDEFINED
1557361387984,DISCHARGING,307,97.0,UNDEFINED
1557361448535,DISCHARGING,307,96.0,UNDEFINED
1557361478748,DISCHARGING,307,96.0,UNDEFINED
1557361569513,DISCHARGING,307,96.0,UNDEFINED
1557361629957,DISCHARGING,306,96.0,UNDEFINED
1557361660183,DISCHARGING,305,96.0,UNDEFINED
1557361720633,DISCHARGING,304,96.0,UNDEFINED
1557361781079,DISCHARGING,305,96.0,UNDEFINED
1557362053095,DISCHARGING,304,96.0,UNDEFINED
1557362143765,DISCHARGING,305,96.0,UNDEFINED
1557362173987,DISCHARGING,304,96.0,UNDEFINED
1557362204219,DISCHARGING,304,96.0,UNDEFINED
1557362234451,DISCHARGING,305,96.0,UNDEFINED
1557362294897,DISCHARGING,304,96.0,UNDEFINED
