timestamp,status,temperature,level,plugged
1557705703906,DISCHARGING,253,100.0,UNDEFINED
1557705811911,DISCHARGING,252,100.0,UNDEFINED
1557705847906,DISCHARGING,253,100.0,UNDEFINED
1557705858894,DISCHARGING,252,100.0,UNDEFINED
1557706101265,DISCHARGING,253,100.0,UNDEFINED
1557706131491,DISCHARGING,255,100.0,UNDEFINED
1557706161715,DISCHARGING,258,100.0,UNDEFINED
1557706187938,DISCHARGING,259,99.0,UNDEFINED
1557706218137,DISCHARGING,261,99.0,UNDEFINED
1557706248354,DISCHARGING,264,99.0,UNDEFINED
1557706278587,DISCHARGING,266,99.0,UNDEFINED
1557706304843,DISCHARGING,266,99.0,UNDEFINED
1557706305084,DISCHARGING,267,99.0,UNDEFINED
1557706335273,DISCHARGING,267,99.0,UNDEFINED
1557706365506,DISCHARGING,268,99.0,UNDEFINED
1557706456283,DISCHARGING,270,99.0,UNDEFINED
1557706486498,DISCHARGING,272,99.0,UNDEFINED
1557706516718,DISCHARGING,275,99.0,UNDEFINED
1557706546947,DISCHARGING,278,99.0,UNDEFINED
1557706577191,DISCHARGING,280,99.0,UNDEFINED
1557706607505,DISCHARGING,282,99.0,UNDEFINED
1557706637734,DISCHARGING,285,99.0,UNDEFINED
1557706667961,DISCHARGING,289,98.0,UNDEFINED
1557706728417,DISCHARGING,292,98.0,UNDEFINED
1557706758672,DISCHARGING,294,98.0,UNDEFINED
1557706788884,DISCHARGING,297,98.0,UNDEFINED
1557706849353,DISCHARGING,300,98.0,UNDEFINED
1557706909909,DISCHARGING,302,98.0,UNDEFINED
1557706940121,DISCHARGING,303,98.0,UNDEFINED
1557706970353,DISCHARGING,304,98.0,UNDEFINED
1557707000569,DISCHARGING,305,98.0,UNDEFINED
1557707061072,DISCHARGING,307,97.0,UNDEFINED
1557707091038,DISCHARGING,308,97.0,UNDEFINED
1557707120943,DISCHARGING,309,97.0,UNDEFINED
1557707151218,DISCHARGING,311,97.0,UNDEFINED
1557707181426,DISCHARGING,312,97.0,UNDEFINED
1557707211649,DISCHARGING,314,97.0,UNDEFINED
1557707241881,DISCHARGING,315,97.0,UNDEFINED
1557707272110,DISCHARGING,316,97.0,UNDEFINED
1557707302336,DISCHARGING,317,97.0,UNDEFINED
1557707332563,DISCHARGING,318,97.0,UNDEFINED
1557707362790,DISCHARGING,319,97.0,UNDEFINED
1557707423239,DISCHARGING,320,97.0,UNDEFINED
1557707453573,DISCHARGING,322,97.0,UNDEFINED
1557707460003,DISCHARGING,321,97.0,UNDEFINED
1557707466990,DISCHARGING,322,96.0,UNDEFINED
1557707497175,DISCHARGING,320,96.0,UNDEFINED
1557707557623,DISCHARGING,319,96.0,UNDEFINED
1557707587848,DISCHARGING,317,96.0,UNDEFINED
1557707618072,DISCHARGING,316,96.0,UNDEFINED
1557707648344,DISCHARGING,315,96.0,UNDEFINED
1557707678548,DISCHARGING,312,96.0,UNDEFINED
1557707708770,DISCHARGING,310,96.0,UNDEFINED
1557707739001,DISCHARGING,308,96.0,UNDEFINED
1557707769231,DISCHARGING,306,96.0,UNDEFINED
1557707799455,DISCHARGING,305,96.0,UNDEFINED
1557707829663,DISCHARGING,304,96.0,UNDEFINED
1557707859885,DISCHARGING,303,96.0,UNDEFINED
1557707890133,DISCHARGING,301,96.0,UNDEFINED
1557707950594,DISCHARGING,300,96.0,UNDEFINED
1557708011042,DISCHARGING,301,96.0,UNDEFINED
1557708071516,DISCHARGING,300,96.0,UNDEFINED
1557708192414,DISCHARGING,298,95.0,UNDEFINED
1557708222634,DISCHARGING,297,95.0,UNDEFINED
1557708283086,DISCHARGING,296,95.0,UNDEFINED
1557708373768,DISCHARGING,295,95.0,UNDEFINED
1557708403999,DISCHARGING,294,95.0,UNDEFINED
1557708464444,DISCHARGING,293,95.0,UNDEFINED
1557708585362,DISCHARGING,292,95.0,UNDEFINED
1557708706267,DISCHARGING,291,95.0,UNDEFINED
1557708760036,DISCHARGING,290,95.0,UNDEFINED
1557708816920,DISCHARGING,289,95.0,UNDEFINED
1557708937954,DISCHARGING,286,95.0,UNDEFINED
1557708978909,DISCHARGING,285,95.0,UNDEFINED
1557709040915,DISCHARGING,284,95.0,UNDEFINED
1557709060894,DISCHARGING,283,95.0,UNDEFINED
1557709094187,DISCHARGING,282,95.0,UNDEFINED
1557709124358,DISCHARGING,282,95.0,UNDEFINED
1557709154588,DISCHARGING,284,95.0,UNDEFINED
1557709184793,DISCHARGING,285,95.0,UNDEFINED
1557709215025,DISCHARGING,286,95.0,UNDEFINED
1557709245249,DISCHARGING,287,95.0,UNDEFINED
1557709275469,DISCHARGING,288,95.0,UNDEFINED
1557709305675,DISCHARGING,289,95.0,UNDEFINED
1557709312669,DISCHARGING,289,95.0,UNDEFINED
1557709330923,DISCHARGING,288,95.0,UNDEFINED
1557709342905,DISCHARGING,286,95.0,UNDEFINED
1557709372907,DISCHARGING,285,95.0,UNDEFINED
1557709413893,DISCHARGING,282,95.0,UNDEFINED
1557709484913,DISCHARGING,281,95.0,UNDEFINED
1557709499912,DISCHARGING,280,95.0,UNDEFINED
1557709653913,DISCHARGING,275,95.0,UNDEFINED
1557709695905,DISCHARGING,274,95.0,UNDEFINED
1557709880145,DISCHARGING,270,95.0,UNDEFINED
1557709910260,DISCHARGING,271,95.0,UNDEFINED
1557709940543,DISCHARGING,272,94.0,UNDEFINED
1557709970768,DISCHARGING,274,94.0,UNDEFINED
1557710031233,DISCHARGING,271,94.0,UNDEFINED
1557710061450,DISCHARGING,274,94.0,UNDEFINED
1557710091674,DISCHARGING,275,94.0,UNDEFINED
1557710121905,DISCHARGING,278,94.0,UNDEFINED
1557710152276,DISCHARGING,279,94.0,UNDEFINED
1557710182428,DISCHARGING,281,94.0,UNDEFINED
1557710212662,DISCHARGING,282,94.0,UNDEFINED
1557710242893,DISCHARGING,285,94.0,UNDEFINED
1557710273120,DISCHARGING,286,94.0,UNDEFINED
1557710303339,DISCHARGING,288,94.0,UNDEFINED
1557710333570,DISCHARGING,289,94.0,UNDEFINED
1557710363789,DISCHARGING,290,94.0,UNDEFINED
1557710424231,DISCHARGING,292,94.0,UNDEFINED
1557710514929,DISCHARGING,293,94.0,UNDEFINED
1557710605621,DISCHARGING,294,94.0,UNDEFINED
1557710666084,DISCHARGING,296,94.0,UNDEFINED
1557710726540,DISCHARGING,297,94.0,UNDEFINED
1557710786987,DISCHARGING,300,94.0,UNDEFINED
1557710938117,DISCHARGING,297,94.0,UNDEFINED
1557710968337,DISCHARGING,296,94.0,UNDEFINED
1557711028781,DISCHARGING,294,94.0,UNDEFINED
1557711059179,DISCHARGING,292,94.0,UNDEFINED
1557711089468,DISCHARGING,293,93.0,UNDEFINED
1557711119800,DISCHARGING,293,93.0,UNDEFINED
1557711150029,DISCHARGING,293,93.0,UNDEFINED
1557711180273,DISCHARGING,292,93.0,UNDEFINED
1557711210508,DISCHARGING,293,93.0,UNDEFINED
1557711240729,DISCHARGING,295,93.0,UNDEFINED
1557711270941,DISCHARGING,296,93.0,UNDEFINED
1557711301170,DISCHARGING,291,93.0,UNDEFINED
1557711331394,DISCHARGING,287,93.0,UNDEFINED
1557711361616,DISCHARGING,282,93.0,UNDEFINED
1557711391845,DISCHARGING,280,93.0,UNDEFINED
1557711422066,DISCHARGING,277,93.0,UNDEFINED
1557711452294,DISCHARGING,274,93.0,UNDEFINED
1557711482513,DISCHARGING,271,93.0,UNDEFINED
1557711512735,DISCHARGING,270,93.0,UNDEFINED
1557711542961,DISCHARGING,268,93.0,UNDEFINED
1557711573192,DISCHARGING,267,93.0,UNDEFINED
1557711603403,DISCHARGING,268,93.0,UNDEFINED
1557711633648,DISCHARGING,270,93.0,UNDEFINED
1557711663865,DISCHARGING,273,92.0,UNDEFINED
1557711694147,DISCHARGING,274,92.0,UNDEFINED
1557711724343,DISCHARGING,278,92.0,UNDEFINED
1557711754574,DISCHARGING,280,92.0,UNDEFINED
1557711784842,DISCHARGING,282,92.0,UNDEFINED
1557711815054,DISCHARGING,285,92.0,UNDEFINED
1557711845270,DISCHARGING,289,92.0,UNDEFINED
1557711875557,DISCHARGING,291,92.0,UNDEFINED
1557711905733,DISCHARGING,293,92.0,UNDEFINED
1557711935974,DISCHARGING,296,92.0,UNDEFINED
