timestamp,CaloriesToday,Calories
1557709911255,835,11644
1557709912266,835,11644
1557709913321,835,11644
1557709914347,835,11644
1557709915345,835,11644
1557709916377,835,11644
1557709917384,835,11645
1557709918412,835,11645
1557709919496,835,11645
1557709920469,835,11645
1557709921480,835,11645
1557709922515,835,11645
1557709923531,835,11645
1557709924636,835,11645
1557709925580,835,11645
1557709926615,835,11645
1557709927630,835,11645
1557709928666,835,11645
1557709929703,835,11645
1557709930701,835,11645
1557709931726,835,11645
1557709932741,835,11645
1557709933815,835,11645
1557709934937,835,11645
1557709935803,835,11645
1557709936835,835,11645
1557709937866,835,11645
1557709938885,835,11645
1557709939938,835,11645
1557709940942,835,11645
1557709941977,835,11645
1557709942976,835,11645
1557709944005,835,11645
1557709945036,835,11645
1557709946072,835,11645
1557709947091,835,11645
1557709948102,835,11645
1557709949125,835,11645
1557709950154,835,11645
1557709951200,835,11645
1557709952215,835,11645
1557709953249,835,11645
1557709954283,835,11645
1557709955269,835,11645
1557709956325,835,11645
1557709957324,835,11646
1557709958413,835,11646
1557709959629,835,11646
1557709960404,835,11646
1557709961410,835,11646
1557709962469,835,11646
1557709963483,835,11646
1557709964572,835,11646
1557709965526,835,11646
1557709966549,835,11646
1557709967569,835,11646
1557709968575,835,11646
1557709969671,835,11646
1557709970687,835,11646
1557709971648,835,11646
1557709972685,835,11646
1557709973749,836,11646
1557709974761,836,11646
1557709975759,836,11646
1557709976797,836,11646
1557709977813,836,11646
1557709978833,836,11646
1557709979912,836,11646
1557709980864,836,11646
1557709981896,836,11646
1557709982925,836,11646
1557709983981,836,11646
1557709984968,836,11646
1557709986011,836,11646
1557709987037,836,11646
1557709988055,836,11646
1557709989145,836,11646
1557709990114,836,11646
1557709991118,836,11646
1557709992142,836,11646
1557709993176,836,11646
1557709994203,836,11646
1557709995206,836,11646
1557709996241,836,11646
1557709997248,836,11647
1557709998285,836,11647
1557709999324,836,11647
1557710000335,836,11647
1557710001362,836,11647
1557710002381,836,11647
1557710003409,836,11647
1557710004469,836,11647
1557710005468,836,11647
1557710006479,836,11647
1557710007512,837,11647
